Articulo,Valor_articulo,Tematica,Tipo,Valor_Tipo,Atributos,Valor_Atributos,Numero,Indicador,Resultado,Valor,Escala,Anio,Fuente,Observaciones,Link_1,Link_2,Link_3,Link_4,,
Artículos 1 a 4,1.4,"Definiciones,  principios y obligaciones generales de la CDPD",Estructura,1,Situación de adecuación de la Convención y de su Protocolo Facultativo al ordenamiento legal,1,3,La adopción de medidas adecuadas para incorporar las disposiciones de la CDPD al ordenamiento jurídico nacional y garantizar su aplicabilidad y su cumplimiento por parte de los tribunales.,Cumplimiento parcial,0.5,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2016,IMPO-ACNUDH,"Uruguay ha adoptado medidas significativas para incorporar las disposiciones de la CDPD en su legislación nacional, particularmente a través de la Ley N° 18651 de 2010, que establece un sistema de protección integral a las personas con discapacidad. Esta ley asegura atención médica, educación, rehabilitación física, psíquica, social, económica y profesional, y cobertura de seguridad social para las personas con discapacidad. Además, define la discapacidad y establece la prevención y rehabilitación integral como componentes clave de la ley. Sin embargo, el Comité de las Naciones Unidas sobre los Derechos de las Personas con Discapacidad ha expresado preocupación por la existencia de disposiciones y terminología en la legislación y políticas públicas de Uruguay que no están completamente armonizadas con el modelo de discapacidad basado en los derechos humanos establecido en la Convención. Se recomienda al Estado uruguayo adoptar un plan para revisar, derogar, reformar y/o adoptar legislación y políticas para reconocer plenamente a las personas con discapacidad como sujetos plenos de derechos humanos.","https://www.impo.com.uy/bases/leyes/18651-2010#:~:text=Prevenci%C3%B3n%20es%20la%20aplicaci%C3%B3n%20de,psicol%C3%B3gicas%20o%20sociales%20negativas",https://acnudh.org/convencion-sobre-los-derechos-de-las-personas-con-discapacidad-crpd-uruguay-2016/,,,,
Artículos 1 a 4,1.4,"Definiciones,  principios y obligaciones generales de la CDPD",Estructura,1,Situación de adecuación de la Convención y de su Protocolo Facultativo al ordenamiento legal,1,4,"Leyes promulgadas a favor de los derechos de las personas con discapacidad que correspondan al propósito, definiciones, principios y obligaciones establecidas en la CDPD.",Cumplimiento parcial,0.5,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,IMPO-ACNUDH,"La Ley N° 18651 de 2010 de Uruguay constituye un avance significativo en la promulgación de leyes a favor de los derechos de las personas con discapacidad. Esta ley incluye disposiciones detalladas sobre los derechos de las personas con discapacidad, amparo de estos derechos por el Estado, medidas para la promoción y desarrollo individual y social, y establece la Comisión Nacional Honoraria de la Discapacidad. Además, promueve la integración social, equiparación de remuneraciones y colaboración con organizaciones de voluntarios y de personas con discapacidad. A pesar de estos avances, se reconoce que aún hay áreas de mejora para asegurar la plena armonización de la legislación uruguaya con los principios de la CDPD. Esto incluye la necesidad de revisar y actualizar la legislación existente para garantizar la plena conformidad con la Convención.","https://www.impo.com.uy/bases/leyes/18651-2010#:~:text=La%20protecci%C3%B3n%20de%20la%20persona,seguridad%20social%20y%20trabajo",https://acnudh.org/convencion-sobre-los-derechos-de-las-personas-con-discapacidad-crpd-uruguay-2016/,,,,
Artículos 1 a 4,1.4,"Definiciones,  principios y obligaciones generales de la CDPD",Estructura,1,Situación de adecuación de la Convención y de su Protocolo Facultativo al ordenamiento legal,1,5,La adopción de un plan o estrategia nacional que tenga por fin adecuar el ordenamiento legal a las disposiciones de la CPDP.,En cumplimiento,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,MIDES-ACNUDH-IMPO,"El Programa Nacional de Discapacidad (Pronadis), creado por la Ley 18.172 de septiembre de 2007, se encarga de mejorar la calidad de vida de las personas con discapacidad en Uruguay. Este programa coordina y ejecuta políticas focalizadas sobre la inclusión de personas con discapacidad, fomenta la transversalización de la discapacidad en políticas sociales, y efectiviza acciones para evaluar el cumplimiento de la CDPD. También se enfoca en fomentar la participación de la sociedad civil en la implementación de propuestas y programas que promuevan la inclusión de personas con discapacidad en todos los ámbitos de la vida. Su estatus de programa en un ministerio fue objeto de preocupación para el Comité sobre los Derechos de las Personas con Discapacidad, que, en sus observaciones de 2016, abogaba por una “entidad nacional permanente con los recursos humanos y financieros suficientes y específicos para llevar a cabo su mandato”. En 2020, la Ley N° 19.924 de Presupuesto Nacional 2020-2025 establece la unificación del Pronadis con la Secretaría Nacional Integral de Cuidados, en la actual Secretaría Nacional de Cuidados y Discapacidad del Ministerio de Desarrollo Social. Esto contradice las recomendaciones realizadas por el Comité sobre los Derechos de las Personas con Discapacidad, y conceptualmente, parecería implicar una equivalencia especto a las nociones de discapacidad y dependencia, que va en contra de los principios establecidos en la CDPD.",https://www.gub.uy/ministerio-desarrollo-social/institucional/estructura-del-organismo/programa-nacional-discapacidad,https://acnudh.org/convencion-sobre-los-derechos-de-las-personas-con-discapacidad-crpd-uruguay-2016/,https://www.impo.com.uy/bases/leyes/19924-2020/486,,,
Artículos 1 a 4,1.4,"Definiciones,  principios y obligaciones generales de la CDPD",Estructura,1,Marco institucional y desarrollo de políticas públicas,2,8,"Visión de mejorar la implementación a nivel nacional, designación vía legal o reglamentaria de un mecanismo de coordinación gubernamental para facilitar la adopción de medidas en diferentes sectores y niveles, con una estructura y un mandato claros, capacidad de liderazgo y la autoridad suficiente para asegurar la transversalización e implementación de la Convención.",Cumplimiento parcial,0.5,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,ACNUDH,"El Programa Nacional de Discapacidad (Pronadis) en Uruguay, aunque constituye un esfuerzo significativo, es solo un programa dentro del Ministerio de Desarrollo Social, lo que limita su alcance y efectividad. El Comité de las Naciones Unidas recomienda que el Pronadis se convierta en una entidad permanente con suficientes recursos humanos y financieros para llevar a cabo su mandato de manera efectiva. Además, Uruguay ha establecido el Mecanismo de Vigilancia y Monitoreo del cumplimiento de la Convención sobre los Derechos de las Personas con Discapacidad, que incluye un Consejo Asesor integrado por personas con discapacidad. Este mecanismo, que opera bajo la Institución Nacional de Derechos Humanos (INDDHH), es un paso importante hacia la defensa y promoción de los derechos de las personas con discapacidad, con la capacidad de recibir denuncias y hacer recomendaciones sobre programas y políticas públicas. Este mecanismo fue creado en respuesta a las recomendaciones del Comité de la ONU y es un ejemplo de cómo Uruguay está trabajando para mejorar la implementación de la Convención a nivel nacional. Estos esfuerzos reflejan un progreso significativo en la dirección correcta, aunque aún queda trabajo por hacer para asegurar una implementación efectiva y transversal de la Convención en todos los niveles del gobierno uruguayo. Finalmente, la Secretaría Nacional de Cuidados y Discapacidad del MIDES no tiene facultades de fiscalización ni sancionatorias para hacer efectiva su facultad de velar por el cumplimiento de las disposiciones legales y reglamentarias relacionadas con protección de derechos de PcD.",https://acnudh.org/convencion-sobre-los-derechos-de-las-personas-con-discapacidad-crpd-uruguay-2016/,https://acnudh.org/uruguay-representante-participo-en-presentacion-de-mecanismo-y-de-consejo-asesor-para-la-defensa-de-los-derechos-de-personas-con-discapacidad/,,,,
Artículo 7,7,Niños y niñas con discapacidad,Estructura,1,General,9,7,"Disponibilidad de mecanismos de denuncia eficaces y accesibles a los niños y niñas con discapacidad, permitiéndoles presentar denuncias.",En cumplimiento,1,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,IMPO-INAU,"El art. 117 y siguientes del Código de la Niñez y de la Adolescencia de 2004 establece normas para la denuncia de vulneración de derechos de niños, niñas y adolescentes. Dicho proceso puede iniciarse ante una seccional policial o ante el Juzgado Letrado de Familia correspondiente. Se puede presentar la denuncia con o sin abogado. Sin embargo, en la audiencia es necesario contar con un abogado, que puede ser contratado por el denunciante o asignado de oficio por el juzgado. Este procedimiento se enfoca en analizar la situación denunciada y en buscar soluciones para acabar con la vulneración de derechos del niño o niña afectado. Adicionalmente, el INAU lleva adelante la Línea Azul, que es un mecanismo para comunicar irregularidades que afecten o vulneren los derechos de niños, niñas y adolescentes. La denuncia puede realizarse a través de un formulario en línea o llamando al 08005050. El proceso incluye la evaluación de la situación denunciada por un equipo de intervención, y en caso de confirmarse alguna vulneración de derechos, se trabaja en la restitución de los mismos. La Línea Azul abarca denuncias sobre maltrato físico y psicológico, abuso y explotación sexual, situaciones de violencia familiar, y otras graves vulneraciones de derechos. Ambos mecanismos están diseñados para ser accesibles y eficaces en la protección de los derechos de los niños y niñas, incluyendo aquellos con discapacidad.",https://www.impo.com.uy/bases/codigo-ninez-adolescencia/17823-2004,https://app.inau.gub.uy/,,,,
Artículo 11,11,Situaciones de riesgo y emergencias humanitarias,Estructura,1,General,9,1,"Ratificación de tratados internacionales de derechos humanos, humanitarios, de los refugiados y del medio ambiente y adopción/adhesión de compromisos internacionales relevantes para la protección de las personas con discapacidad en situaciones de riesgo y emergencia.",Cumplimiento parcial,0.5,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,IMPO-MARCA PAÍS,"Uruguay ha adoptado formalmente el Acuerdo de París sobre el cambio climático. La Ley N° 19.439, promulgada por el país, aprueba el Acuerdo de París que fue adoptado el 12 de diciembre de 2015, durante la Vigésima Primera Conferencia de las Partes (COP 21) de la Convención de Naciones Unidas sobre Cambio Climático. Este acuerdo fue suscrito por la República Oriental del Uruguay en Nueva York, Estados Unidos de América, el 22 de abril de 2016. Por otra parte, el país ha demostrado un papel activo y comprometido en la implementación del Marco de Sendai para la Reducción del Riesgo de Desastres, participado en la construcción de este marco tanto en el Mercosur como en la Unión de Naciones Suramericanas (Unasur). Uruguay ha aprovechado su liderazgo en la Reunión de Ministros y Altas Autoridades de Gestión de Riesgo del Mercosur para impulsar la integración de capacidades, el intercambio de experiencias y la generación de herramientas para la cooperación en la región. Además, Uruguay ha trabajado en la aplicación del Marco de Acción de Hyogo, predecesor del Marco de Sendai, lo que le ha permitido mejorar notablemente en la gestión de riesgos de desastres​. Sin embargo, Uruguay no ha adherido a otros compromidos internacionales como la Carta sobre la Inclusión de Personas con Discapacidad en Acción Humanitaria (2016), la Agenda por la Humanidad, lanzada como parte de la Cumbre Humanitaria Mundial en 2016 o la Cumbre Mundial sobre la Discapacidad de 2018. Por lo tanto, se entiende que existe cumplimento parcial respecto a este indicador.",https://www.impo.com.uy/bases/leyes/19439-2016,https://marcapaisuruguay.gub.uy/uruguay-impulsa-construccion-regional-del-marco-sendai-reduccion-riesgo-desastres/,,,,
Artículo 30,30,"Participación en la vida cultural, las actividades recreativas, el esparcimiento y el deporte",Estructura,1,General,9,2,"Estándares de accesibilidad adoptados sobre accesibilidad a sitios turísticos, museos, galerías de arte, centros e instalaciones culturales, parques públicos y nacionales, y otros espacios públicos, centros e instalaciones deportivas, abarcando la accesibilidad del entorno construido, la información y las comunicaciones (basado en los indicadores 9.1, 9.3 y 9.4).",Incumplimiento,0,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,MINTUR - IMM,"En materia de políticas de Desarrollo en Accesibilidad e Inclusión Turística, el Ministerio de Turismo, en colaboración con el Banco de Desarrollo de América Latina (CAF), se enfoca en el desarrollo de la accesibilidad turística. Esto incluye eventos como el Foro de Turismo Inclusivo y el reconocimiento a organizaciones que desarrollan acciones en materia de accesibilidad​​​​​​. En este sentido, estableció un Fondo Concursable para el Desarrollo de Circuitos Turísticos, que tiene como objetivo fomentar la inclusión en destinos, productos y servicios turísticos. A nivel departamental, en 2019, la IMM desarrolló la Guía de Turismo Accesible de Montevideo, que proporciona información sobre plazas, parques, museos, salas de teatro, cines, locales gastronómicos, centros comerciales y hoteles que cuentan con espacios accesibles o cumplen con normas de accesibilidad​. Finalmente, el Digesto Departamental establece disposiciones sobre la accesibilidad para todas las personas en espacios urbanos y edificaciones, incluyendo condiciones específicas para obras nuevas y edificaciones destinadas a usos no residenciales​. Sin embargo, la accesibilidad en la legislación trata sobre el entorno construido y no sobre comunicaciones e información. En particular, las normas sobre accesibilidad excluyen de su campo de acción la transmisión de eventos deportivos y los vehículos destinados a servicios turísticos. En la medida que no todas estas medidas se encuentran estandarizadas, se considera que existe incumplimiento.",https://www.gub.uy/ministerio-turismo/comunicacion/noticias/mintur-caf-organizaron-foro-turismo-inclusivo,"https://montevideo.gub.uy/areas-tematicas/turismo/guia-de-turismo-accesible#:~:text=En%20la%20gu%C3%ADa%20se%20encuentran,cumplen%20con%20normas%20de%20accesibilidad","https://normativa.montevideo.gub.uy/articulos/90774#:~:text=Digesto%20Departamental,destinadas%20a%20usos%20no%20residenciales",,,
Artículos 1 a 4,1.4,"Definiciones,  principios y obligaciones generales de la CDPD",Estructura,1,Marco institucional y desarrollo de políticas públicas,2,6,"La adopción de una estrategia o de un plan de acción nacional para la implementación de la Convención, que incluya plazos, indicadores y referencias específicos, recopilación de datos y diferenciación por tipo de discapacidad y por asignación de recursos.",Cumplimiento parcial,0.5,"Escala donde 1 significa cumplimientn, 0.5 cumplimiento parcial y 0 incumplimiento.",2023,Derecho a la igualdad y no discriminación de las personas con discapacidad/IMM,"Uruguay ha implementado varias iniciativas que contribuyen a la implementación de la CDPD, aunque no existe un plan de acción nacional específico y completo para tal fin. Por ejemplo, el proyecto “El derecho a la igualdad y no discriminación de las personas con discapacidad”, financiado por el Fondo de las Naciones Unidas, trabaja en áreas clave como la salud, prevención y atención a la violencia de género, y mejora de la información sobre discapacidad. Además, el 1er Plan de Accesibilidad para la Inclusión, desarrollado por la Intendencia de Montevideo, define objetivos y metas de gestión con una perspectiva estratégica, en línea con las recomendaciones de las Naciones Unidas.Estos esfuerzos muestran un progreso significativo hacia la implementación de la CDPD en Uruguay. Sin embargo, la falta de un plan de acción nacional integral y específico para la Convención sugiere que aún hay margen de mejora en esta área.",https://inclusionydiscapacidad.uy/una-descripcion-del-proyecto/,https://montevideo.gub.uy/institucional/dependencias/secretaria-de-discapacidad,,,,
Artículo 30,30,"Participación en la vida cultural, las actividades recreativas, el esparcimiento y el deporte",Proceso,2,Desarrollo y acceso a la vida cultural de las personas con discapacidad,1,10,"Medidas específicas adoptadas para fomentar la participación de las personas con discapacidad en la vida cultural, incluyendo por ej. exenciones o reducción de tarifas, cuotas de participación de personas con discapacidad en programas culturales, incluyendo programas de estudio y eventos. ",,1,Cantidad de medidas,2023,MIDES-IMM,"El MIDES desarrollo el Programa de Actividades Culturales, Físicas y Recreativas, que busca fomentar el desarrollo de potencialidades en las personas mayores y con discapacidad, mejorando su autoestima y promoviendo su integración social. Se ofrecen actividades y manifestaciones artísticas, culturales, formativas y educativas, incluyendo talleres, cursos, charlas, y concursos nacionales de diversas expresiones artísticas. El programa está dirigido a personas mayores jubiladas o pensionistas del Banco de Previsión Social y personas con discapacidad vinculadas a esta institución. Estas actividades se desarrollan en varios departamentos de Uruguay, incluyendo Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandú, Río Negro, Rivera, Rocha, Salto, San José, Soriano, Tacuarembó, y Treinta y Tres. En 2021, la IMM desarrolló el Programa Verano, que ofrecía actividades recreativas para personas con discapacidad en distintas playas y parques, como las playas Cerro, Ramírez, Pocitos, Malvín, y en el Parque de la Amistad. Más recientemente, la IMM organiza actividades deportivas y recreativas en varias playas y parques de Montevideo, dirigidas por docentes de educación física para PcD. Estas actividades son gratuitas, y para participar es necesario inscribirse en el lugar con la documentación adecuada.","https://www.gub.uy/ministerio-desarrollo-social/node/8910#:~:text=Artigas%2C%20Canelones%2C%20Cerro%20Largo%2C%20Colonia%2C,Soriano%2C%20Tacuaremb%C3%B3%2C%20Treinta%20y%20Tres","https://montevideo.gub.uy/noticias/deportes/recreacion-para-personas-con-discapacidad#:~:text=Autor%3A%20Intendencia%20de%20Montevideo%20%2FJorge,de%208%20a%2012%20h",https://montevideo.gub.uy/noticias/deportes/deportes-y-recreacion-para-personas-con-discapacidad,,,
Artículo 7,7,Niños y niñas con discapacidad,Proceso,2,Igualdad y no discriminación,1,11,"Número y proporción de normas, planes de acción nacionales y estrategias sobre niños y niñas y jóvenes, con referencias explícitas a las niños y niñas con discapacidad.",,2,Cantidad de disposiciones,2023,MEC - UNESCO,"Uruguay cuenta con el Protocolo de Actuación para Garantizar el Derecho a la Educación Inclusiva de las Personas con Discapacidad de 2022, implementado por la ANEP, establece pautas para asegurar la accesibilidad, participación efectiva y logros en el aprendizaje de estudiantes en riesgo de exclusión, incluyendo a aquellos con discapacidad. Se construyó a partir de instancias colaborativas y forma parte del Plan de Política Educativa Nacional 2020-2025. Finalmente, debe mencionarse la Estrategia Nacional para la Infancia y la Adolescencia (ENIA) 2010-2030, elaborada en 2008, que aborda los principales retos que enfrenta Uruguay en materia de infancia y adolescencia, incluyendo la situación de niños y adolescentes con discapacidad. La estrategia propone orientaciones de políticas para garantizar su participación efectiva en la sociedad.",https://www.gub.uy/ministerio-educacion-cultura/protocoloinclusiva,https://siteal.iiep.unesco.org/sites/default/files/sit_accion_files/uruguay_estrategia_enia.pdf,,,,
